question_id,description,knowledge_component_official
437,给定一个长度为n的链表（链表节点包含一个整型值）。同时给定大小为m的列表G，该列表是上述链表中整型值的一个子集。请返回列表G中组件的个数，这里对组件的定义为：链表中一段最长连续节点的值（该值必须在列表G中）构成的集合。注：该题中提到的链表必须用链表实现，不得使用STL类，否则不得分。,{linked list}
438,给定一个无向图G，其中包含n个顶点（编号为1-n）和m条边，求图中连通分量的个数。连通分量的定义为：一个无向图的极大连通子图称为该图的连通分量。连通图的极大连通子图只有1个，就是其自身。非连通图可以拆为数个极大，也称连通分量，每个分量显然都是连通图。,{graph}
440,输入一个带权连通图，输出最小生成树,"{kruskal, minimum spanning tree}"
441,给定一棵二叉树，计算树中所有右叶子之和。注：题中给定的二叉树需要自己根据测试案例中的层序遍历序列构建。,{binary tree}
442,"给定一棵二叉树，树中的每个结点的值要么是0，要么是1。移除树中所有不包含1的子树（子树节点全为0）。子树的定义：对于树中的任意一个节点node,以node为根，node的后代构成的二叉树称之为子树。注：题中给定的二叉树需要自己根据测试案例中的层序遍历序列构建。",{binary tree}
443,给定一个无向图G，其中包含n个顶点（编号为1-n）和m条边，求图中连通分量的个数。连通分量的定义为：一个无向图的极大连通子图称为该图的连通分量。连通图的极大连通子图只有1个，就是其自身。非连通图可以拆为数个极大，也称连通分量，每个分量显然都是连通图。,{graph}
444,给定一个长度为n的正整数序列a，其中有一些值是未知的（用0表示），要求将这些未知的数用正整数填上，且最终的正整数序列是非递减序列，并且字典序是最小的。（字典序比较的定义是：对于两个不完全相同的序列a和b，假设存在一个正整数k，使得a[k] < b[k]，并且对于任意i < k，都满足a[i]=b[i]，则字典序a < b）。,"{array, sort}"
445,老师给你出了一道题：初始你手上有一个值为0的数，现在你需要经过n次运算，每次运算有两种选择，你需要选择其中的一种并和你手上的数进行运算，n次运算后输出最大的结果（运算按照从前往后的顺序，不需要考虑优先级）。这自然难不倒会编程的你，所以解决它吧。,{string}
446,"王总忘记了自己保险箱的密码，想找你帮忙破解。根据王老板的提示，密码是从0-9中选取的前n个数字从小到大进行排列组合，得到的第m个数字组合就是密码。例如：n=3, 则进行排列组合的前三个数字就是0，1，2，王总记录提示的m是5。则根据 这三个数字的所有排列组合：012，021，102，120，201，210，王总的保险箱的密码为201。",{recursion}
447,"给定一个长度为n的非负整数数组和一个整数 m，将这个数组分成 m 个非空的连续子数组，每个子数组内所有数据的和被称为该子数组的分数。对于任意一种分割方案，其对应的所有子数组分数的最大值，记为该次分割方案的分数。请问所有分割方案的分数的最小值是多少？解释：假设数组为[7, 2, 5, 10, 8], m=2。给定一种分割方案为[7,2], [5,10,8]。那两个子数组的分数分别为为9和23，该分割方案的分数为23（两个子数组分数的最大值）.",{array}
448,"给定一棵二叉树，树中的每个结点的值要么是0，要么是1。移除树中所有不包含1的子树（子树节点全是0）。子树的定义：对于树中的任意一个节点node,以node为根，node的后代构成的二叉树称之为子树。注：题中给定的二叉树需要自己根据测试案例中的层序遍历序列构建。",{tree}
449,给定一个无向图G，当这个图为二分图时返回true。二分图的定义为：如果我们能将一个图的节点集合分割成两个独立的子集A和B，使得图中的每一条边的两个节点一个来自A集合，一个来自B集合，我们就将这个图称为二分图。G将会以邻接表的方式给出，G[i]表示图中与节点i相连的所有节点。每个节点都是一个在0到G.length-1之间的整数。图中没有自环和平行边：G[i]中不存在i，并且G[i]中没有重复的值。,{graph}
450,给定一个矩阵A，m行n列，返回A的转置矩阵。矩阵的转置是指将矩阵的主对角线翻转，交换矩阵的行索引与列索引。,{matrix}
451,"给定一串字符，使用特定的方法将其压缩成新的字符串，压缩后的长度必须始终小于或等于原数组长度。具体方法为：计算字符连续出现的次数，若次数为1保持不变;若次数>1,则进行压缩。",{string}
452,输入一串由小到大排列的int类型的数字以-1结束输入，将读取的数组构造成一个链表，删除所有重复的元素，使得每个元素只出现一次，最后输出新的链表。,"{pointer, linked list}"
453,"本题要求实现一个在给定数组中找出由三个数组成的最大乘积的简单函数。函数接口定义：int canThreePartsEqualSum ( int *A, int n); 其中A 为给出的整型数组，n为数组长度请实现函数接口，并在主函数中调用它。","{sort, array}"
455,给你一个数组A，只有可以将其划分为三个和相等的非空部分时才返回true，否则返回false。,{array}
456,输入两个时刻（24小时制），要求定义一个时间结构体类型（时和分），并计算两个时刻之间的时间差,{struct}
457,大数通常指超过int或long表示范围的整数数值，通常以字符串数组的形式保存，此题给出1个大数和1个小数，要求计算两数之积并输出。,{big integer}
458,给定一个矩阵A，求矩阵 A 每一列的平均值和每一行的最大值，并依次输出。,"{array, loop statement}"
46,小明开了一家糖果店。他别出心裁：把水果糖包成4颗一包和7颗一包的两种。糖果不能拆包卖。小朋友来买糖的时候，他就用这两种包装来组合。当然有些糖果数目是无法组合出来的，比如要买 10 颗糖。你可以用计算机测试一下，在这种包装情况下，最大不能买到的数量是17。大于17的任何数字都可以用4和7组合出来。本题的要求就是在已知两个包装的数量时，求最大不能组合出的数字。,"{number theory, search, mathematics}"
461,C语言考试成绩信息的每条记录包含，考试学号，考试姓名，考试成绩(0~100)。请根据所有考试信息，构造考试记录结构体。同时找出成绩最高的同学（们）的姓名 以及成绩最低同学（们）的学号。,{struct}
462,构造一个链表，在指定位置插入节点(实现链表的插入操作），最后遍历链表，要求从头到尾输出遍历链表信息。,{linked list}
463,用2*1的小矩形横着或者竖着去覆盖更大的矩形。请问用n个2*1的小矩形无重叠地覆盖一个2*n的大矩形，总共有多少种方法？要求用递归的方法解决此问题。,{recursion}
464,登入网站是一般需要输入密码。现在写一个自动检查用户密码的程序。具体要求如下：密码不少于6个字符组成，且不能超过30个字符。密码只能有英文字母、数字和小数点 `.`，还必须既有字母也有数字。- 如果密码合法，输出 yes- 如果密法太长，不论合法与否，都输出 too long- 如果密码太短，不论合法与否，都输出 too short- 如果密码长度合法，但存在不合法字符，则输出 illegal char- 如果密码长度合法，但只有字母没有数字，则输出 need num- 如果密码长度合法，但只有数字没有字母，则输出 need char每次只输出一种提醒，提醒种类优先级由上到下依次递减。,{branch}
465,实现分数减法。分数分为，整数部分和纯分数部分。,"{struct, branch}"
47,"栋栋正在和同学们玩一个数字游戏。游戏的规则是这样的：栋栋和同学们一共n个人围坐在一圈。栋栋首先说出数字1。接下来，坐在栋栋左手边的同学要说下一个数字2。再下面的一个同学要从上一个同学说的数字往下数两个数说出来，也就是说4。下一个同学要往下数三个数，说7。依次类推。为了使数字不至于太大，栋栋和同学们约定，当在心中数到 k-1 时，下一个数字从0开始数。例如，当k=13时，栋栋和同学们报出的前几个数依次为：1, 2, 4, 7, 11, 3, 9, 3, 11, 7。游戏进行了一会儿，栋栋想知道，到目前为止，他所有说出的数字的总和是多少。","{mathematics, simulation, loop statement}"
473,"给定两个大于0的整数，m和n，求m和n之间的所有非素数之和（范围包括m,n）",{loop statement}
474,"输入一行字符串（少于100个字符），包含空格和特殊符号等。 统计并输出其中大写辅音字母的个数。大写辅音字母是指除'A' , 'E' , 'I' , ' O ' ,  ' U '以外的大写字母。试编写相应程序。","{array, string, if statement, loop statement}"
475,输入一个字符串（少于 80 个字符），包含空格和特殊符号等。将其中的大写字母用下面列出的对应大写字母替换， 其余字符不变， 输出替 换后的字符串。试编写相应程序。原字母对应字母A ——> ZB ——> YC ——> XD ——> W...X ——> CY ——> BZ ——> A,"{array, string, loop statement}"
476,"输入一个以字符 """" #"""" 结束的字符串， 滤去所有的非十六进 制字符 （不分大小写）， 组成一个 新的表示十六进 制数字的 字符 串， 然后 将其转换为十进制 数后输出 。如果过滤后字符串的首字符为 ＂-＂， 代表该 数是负数。试编写相应程序。","{array, string, if statement, loop statement}"
48,X 国的一个网络使用若干条线路连接若干个节点。节点间的通信是双向的。某重要数据包，为了安全起见，必须恰好被转发两次到达目的地。该包可能在任意一个节点产生，我们需要知道该网络中一共有多少种不同的转发路径。源地址和目标地址可以相同，但中间节点必须不同。如下图所示的网络。1 -> 2 -> 3 -> 1 是允许的1 -> 2 -> 1 -> 2 或者 1 -> 2 -> 3 -> 2 都是非法的。,"{search, graph}"
49,"抗日战争时期，冀中平原的地道战曾发挥重要作用。地道的多个站点间有通道连接，形成了庞大的网络。但也有隐患，当敌人发现了某个站点后，其它站点间可能因此会失去联系。我们来定义一个危险系数DF(x,y)：对于两个站点x和y (x != y), 如果能找到一个站点z，当z被敌人破坏后，x和y不连通，那么我们称z为关于x,y的关键点。相应的，对于任意一对站点x和y，危险系数DF(x,y)就表示为这两点之间的关键点个数。本题的任务是：已知网络结构，求两站点之间的危险系数。","{search, graph}"
51,"幸运数是波兰数学家乌拉姆命名的。它采用与生成素数类似的“筛法”生成。首先从1开始写出自然数1,2,3,4,5,6,....1 就是第一个幸运数。我们从2这个数开始。把所有序号能被2整除的项删除，变为：1 _ 3 _ 5 _ 7 _ 9 ....把它们缩紧，重新记序，为：1 3 5 7 9 .... 。这时，3为第2个幸运数，然后把所有能被3整除的序号位置的数删去。注意，是序号位置，不是那个数本身能否被3整除!! 删除的应该是5，11, 17, ...此时7为第3个幸运数，然后再删去序号位置能被7整除的(19,39,...)最后剩下的序列类似：1, 3, 7, 9, 13, 15, 21, 25, 31, 33, 37, 43, 49, 51, 63, 67, 69, 73, 75, 79, ...","{mathematics, simulation, loop statement}"
52,C村住着n户村民，由于交通闭塞，C村的村民只能通过信件与外界交流。为了方便村民们发信，C村打算在C村建设k个邮局，这样每户村民可以去离自己家最近的邮局发信。现在给出了m个备选的邮局，请从中选出k个来，使得村民到自己家最近的邮局的距离和最小。其中两点之间的距离定义为两点之间的直线距离。,"{search, depth-first search}"
53,"闲暇时，福尔摩斯和华生玩一个游戏：在N张卡片上写有N个整数。两人轮流拿走一张卡片。要求下一个人拿的数字一定是前一个人拿的数字的约数或倍数。例如，某次福尔摩斯拿走的卡片上写着数字“6”，则接下来华生可以拿的数字包括：1，2，3, 6，12，18，24 ....当轮到某一方拿卡片时，没有满足要求的卡片可选，则该方为输方。请你利用计算机的优势计算一下，在已知所有卡片上的数字和可选哪些数字的条件下，怎样选择才能保证必胜！当选多个数字都可以必胜时，输出其中最小的数字。如果无论如何都会输，则输出-1。","{search, game, depth-first search}"
54,给定一个n*m的矩阵A，求A中的一个非空子矩阵，使这个子矩阵中的元素和最大。其中，A的子矩阵指在A中行和列均连续的一块。,"{matrix, dynamic programming, loop statement}"
548,高中作文打分（满分为60分），为了避免作文打分的主观因素的影响，一般会请n个老师进行打分，从中去掉最高分和最低分，对保留的求和并平均。现在给定n个老师打分的情况，你需要求出最高分和最低分，并分别存到指针变量p和q中（int类型指针）；对剩下的分数求和平均保存到指针变量r（double类型指针）中。最后以间接访问的形式输出最高分，最低分和平均分,{pointer}
549,给出n个元素，必须使用递归的方法求出元素中的最大值,"{array, recursion}"
554,登入网站是一般需要输入密码。现在写一个自动检查用户密码的程序。具体要求如下：密码不少于6个字符组成，且不能超过30个字符。密码只能有英文字母、数字和小数点 `.`，还必须既有字母也有数字。- 如果密码合法，输出 yes- 如果密法太长，不论合法与否，都输出 too long- 如果密码太短，不论合法与否，都输出 too short- 如果密码长度合法，但存在不合法字符，则输出 illegal char- 如果密码长度合法，但只有字母没有数字，则输出 need num- 如果密码长度合法，但只有数字没有字母，则输出 need char每次只输出一种提醒，提醒种类优先级由上到下依次递减。,{branch}
555,给定N 位（0<= N <= 100) 数字 num。可以将数字num看成是一个长度位N的字符串，从左至右观察数字num，查找到第一个长度为L（1<= L <= 5) 的连续“子串”，且该“子串” 为素数。输出这个素数。（关键词：第一个、长度为L（即L位数）、素数）,"{string, loop statement}"
572,用队列实现下面功能，给定一个数组 nums 和滑动窗口的大小 k，请找出所有滑动窗口里的最大值。,{queue}
574,给定整数序列a1，a2，.....，an，判断是否可以从中选出若干数，使他们的和恰好为k。,{depth-first search}
578,使用高位基数排序对单词按照字典序排序。,{sort}
579,对下列数字按照大小进行归并排序,{sort}
581,"有一个正整数数组，数组长度为n且小于等于10(数组下标从0开始)。现给一个正整数K，请在数组中所有元素中找一个子集，子集中元素之和为K。输出所有子集中，数组下标最大的元素的值。比如 数组为[5,4,2,3,10]，K=9，则可能子集为[5,4], [4,2, 3]由于[4,2,3]中3的下标更大（为3，[5,4]中4的下标为1），因此输出3。如果不存在这样的子集，输出-1。注意数组下标从0开始。",{search}
585,"我们有一个由平面上的点组成的列表points。需要从中找出第K个距离原点(0, 0)最近的点。假设答案唯一。规定不准用STL。 用STL实现排序功能一律不得分。",{sort}
586,将两个升序链表合并为一个新的升序链表并返回。新链表是通过拼接给定的两个链表的所有节点组成的。规定不准用STL，必须用链表实现功能。用STL实现链表功能一律不得分。,{linked list}
587,"1. 给出后序遍历序列,构建二叉树。上述二叉树实际是一颗二叉排序树，请实现程序2. 查找c节点，输出从树根到c节点的路径。3. 删除其中的m节点，使得删除后仍为二叉排序树。",{binary tree}
589,"有一堆二维坐标点<x1,y1>, <x2, y2>…..<xn, yn>。假定坐标点是一个一个来的，请利用堆，能时刻报告数据中的最小的k项。比如k=1,  有4个坐标数据 <2,2>, <1,1>, <3,3>, <0,0> 依次到来。那么当来第一个<2,2>时， top-1的值是<2,2>, 再来一个数据<1,1>,这时top-1的值变为了 <1,1>, 再来一个<3,3>数据，top-1还是<1,1>, 第四个数据<0,0>到了后，top-1 就变为了 <0,0>。",{top-k}
591,存在一个无向图 ，图中有n 个节点。其中每个节点都有一个介于0到n - 1之间的唯一编号。给你一个二维数组graph，其中graph[u]是一个节点数组，由节点u的邻接节点组成。形式上，对于graph[u]中的每个v，都存在一条位于节点u和节点v之间的无向边。该无向图同时具有以下属性：n不存在自环（graph[u]不包含u）。n不存在平行边（graph[u]不包含重复值）。n如果v在graph[u]内，那么u也应该在graph[v]内（该图是无向图）。n这个图可能不是连通图，也就是说两个节点u和v之间可能不存在一条连通彼此的路径。写程序判断该图是否为二分图。定义：如果能将一个图的节点集合分割成两个独立的子集A和B，并使图中的每一条边的两个节点一个来自A集合，一个来自B集合，就将这个图称为二分图 。提示，可以用两种颜色通过遍历对该图进行染色。 二分图的话相邻节点颜色一定不相同。,{binary graph}
592,有一群人，打乒乓球比赛，两两捉对撕杀，每两个人之间最多打一场比赛。球赛的规则如下：如果A打败了B，B又打败了C，而A与C之间没有进行过比赛，那么就认定，A一定能打败C。如果A打败了B，B又打败了C，而且，C又打败了A，那么A、B、C三者都不可能成为冠军。根据这个规则，无需循环较量，或许就能确定冠军。你的任务就是面对一群比赛选手，在经过了若干场撕杀之后，确定是否已经实际上产生了冠军(冠军要求能够击败所有人)。,{graph}
593,用邻接表存储图，利用该邻接表使用Kruskal算法生成最小生成树,{graph}
599,输入一个正整数n，求e=1!+2!+3!+......+n!，要求定义调用函数fact(n)计算n!，函数类型是double。试编写相应的程序。,{loop statement}
601,输入两个整数 a 和 b，顺序输出加、减和乘法运算的结果。,{operator}
603,输入的三角形的三条边a、b、c 的长度，计算并依次输出三角形的周长和面积，结果严格保留2位小数。测试用例的数据保证三角形三边数据可以构成三角形。三角形面积计算公式：$area=\sqrt{s(s-a)(s-b)(s-c)}$，其中$s=\frac{a+b+c}{2}$。,"{operator, library function}"
7,FJ在沙盘上写了这样一些字符串：　　A1 = “A”　　A2 = “ABA”　　A3 = “ABACABA”　　A4 = “ABACABADABACABA”　　… …　　你能找出其中的规律并写所有的数列AN吗？,"{string, iteration}"
76,输入四个数，实现降序排序,"{sort, loop statement}"
9,最近FJ为他的奶牛们开设了数学分析课，FJ知道若要学好这门课，必须有一个好的三角函数基本功。所以他准备和奶牛们做一个“Sine之舞”的游戏，寓教于乐，提高奶牛们的计算能力。不妨设An=sin(1–sin(2+sin(3–sin(4+...sin(n))...)Sn=(...(A1+n)A2+n-1)A3+...+2)An+1FJ想让奶牛们计算Sn的值，请你帮助FJ打印出Sn的完整表达式，以方便奶牛们做题。,"{recursion, mathematics}"
